m_chi_GeV,m_V_keV,alpha_chi,cooling_brem_r0p1,sigma_eff_cm2_per_g
100.0,3.1622776601683795,0.00025118864315095795,4.523208120949598e-17,4.591361449048791
100.0,3.1622776601683795,0.00039810717055349735,1.8007215868558481e-16,11.532978526021834
100.0,3.1622776601683795,0.000630957344480193,7.168801758977839e-16,28.969532274405562
100.0,3.1622776601683795,0.001,2.8539513845256054e-15,72.76817504725825
100.0,5.623413251903491,0.0001,9.542881537430563e-19,0.6750245648815214
100.0,5.623413251903491,0.00015848931924611142,3.7990895677936945e-18,1.6955850454615533
100.0,5.623413251903491,0.00025118864315095795,1.5124447985136533e-17,4.259117069165424
100.0,5.623413251903491,0.00039810717055349735,6.021151193546256e-17,10.69841837624749
100.0,5.623413251903491,0.000630957344480193,2.3970634651375083e-16,26.873211957908786
100.0,5.623413251903491,0.001,9.542881537430564e-16,67.50245648815213
100.0,10.0,0.0001,1.658486393422685e-19,0.6223674865037296
100.0,10.0,0.00015848931924611142,6.602553254869802e-19,1.5633164447614416
100.0,10.0,0.00025118864315095795,2.6285237947249955e-18,3.926873365752056
100.0,10.0,0.00039810717055349735,1.0464341706505111e-17,9.863859925688955
100.0,10.0,0.000630957344480193,4.165929468481696e-17,24.77689590964915
100.0,10.0,0.001,1.6584863934226848e-16,62.23674865037297
100.0,17.78279410038923,0.00015848931924611142,3.056765722778406e-20,1.4310486305065855
100.0,17.78279410038923,0.00025118864315095795,1.2169203529402247e-19,3.594631637799854
100.0,17.78279410038923,0.00039810717055349735,4.844647184979968e-19,9.029306437264522
100.0,17.78279410038923,0.000630957344480193,1.9286887831423366e-18,22.680592325706826
100.0,17.78279410038923,0.001,7.678248343350642e-18,56.971072121543344
100.0,31.622776601683793,0.000630957344480193,1.087947482659488e-20,20.584324890660444
100.0,31.622776601683793,0.001,4.3311969403236937e-20,51.70548639463493
100.0,1e-06,0.0001,1.685492529954084e-17,2.0967699812458385
100.0,1e-06,0.00015848931924611142,6.710066620890769e-17,5.266848065888023
100.0,1e-06,0.00025118864315095795,2.671325636668285e-16,13.22972419352658
100.0,1e-06,0.00039810717055349735,1.063473890841032e-15,33.23156469433347
100.0,1e-06,0.000630957344480193,4.233765816402412e-15,83.47391645352894
100.0,1.778279410038923e-06,0.0001,1.685488451645834e-17,2.0441127405213058
100.0,1.778279410038923e-06,0.00015848931924611142,6.710050384853189e-17,5.134579057391335
100.0,1.778279410038923e-06,0.00025118864315095795,2.6713191729853026e-16,12.897479465774525
100.0,1.778279410038923e-06,0.00039810717055349735,1.0634713176024887e-15,32.39700367075249
100.0,1.778279410038923e-06,0.000630957344480193,4.233755572155255e-15,81.37759394212914
100.0,3.162277660168379e-06,0.0001,1.6854816721104168e-17,1.9914554997967728
100.0,3.162277660168379e-06,0.00015848931924611142,6.710023395036562e-17,5.002310048894647
100.0,3.162277660168379e-06,0.00025118864315095795,2.671308428145772e-16,12.56523473802247
100.0,3.162277660168379e-06,0.00039810717055349735,1.063467040004825e-15,31.56244264717151
100.0,3.162277660168379e-06,0.000630957344480193,4.233738542732229e-15,79.28127143072932
177.82794100389228,1e-06,0.0001,2.9972807019650635e-18,0.38222821722070727
177.82794100389228,1e-06,0.00015848931924611142,1.1932389396139129e-17,0.9601138725767918
177.82794100389228,1e-06,0.00025118864315095795,4.750369780439493e-17,2.411697009229758
177.82794100389228,1e-06,0.00039810717055349735,1.8911562723736072e-16,6.0579089943964695
177.82794100389228,1e-06,0.000630957344480193,7.528828726691542e-16,15.216779406344317
177.82794100389228,1e-06,0.001,2.997280701965063e-15,38.22282172207073
177.82794100389228,1e-06,0.001584893192461114,1.1932389396139127e-14,96.01138725767917
177.82794100389228,1.778279410038923e-06,0.0001,2.99727666179176e-18,0.3728642885237173
177.82794100389228,1.778279410038923e-06,0.00015848931924611142,1.1932373311919505e-17,0.9365927471371995
177.82794100389228,1.778279410038923e-06,0.00025118864315095795,4.750363377196328e-17,2.3526146133842114
177.82794100389228,1.778279410038923e-06,0.00039810717055349735,1.8911537231965883e-16,5.909500725930963
177.82794100389228,1.778279410038923e-06,0.000630957344480193,7.52881857823504e-16,14.84399469046198
177.82794100389228,1.778279410038923e-06,0.001,2.9972766617917598e-15,37.28642885237173
177.82794100389228,1.778279410038923e-06,0.001584893192461114,1.1932373311919503e-14,93.65927471371994
177.82794100389228,3.162277660168379e-06,0.0001,2.9972694094201714e-18,0.3635003598267273
177.82794100389228,3.162277660168379e-06,0.00015848931924611142,1.1932344439708176e-17,0.9130716216976071
177.82794100389228,3.162277660168379e-06,0.00025118864315095795,4.750351882961968e-17,2.2935322175386648
177.82794100389228,3.162277660168379e-06,0.00039810717055349735,1.8911491472594697e-16,5.761092457465455
177.82794100389228,3.162277660168379e-06,0.000630957344480193,7.52880036110125e-16,14.471209974579642
177.82794100389228,3.162277660168379e-06,0.001,2.997269409420171e-15,36.35003598267273
177.82794100389228,3.162277660168379e-06,0.001584893192461114,1.1932344439708174e-14,91.3071621697607
177.82794100389228,5.623413251903491e-06,0.0001,2.997257353511929e-18,0.3541364311297373
177.82794100389228,5.623413251903491e-06,0.00015848931924611142,1.1932296444272988e-17,0.8895504962580147
177.82794100389228,5.623413251903491e-06,0.00025118864315095795,4.7503327756350656e-17,2.2344498216931177
